timestamp,BWB_2_HeatMeter_ReturnTemperature_C,BWB_2_HeatMeter_Power_Watt,BWB_2_HeatMeter_VolumeFlow_m3_per_hour,BWB_2_HeatMeter_FlowTemperature_Ce,BWB_2_HeatMeter_TemperatureDifference_K
15-Apr-19 11:45:00 AM CEST,51.00,257400.00,4.69,99.00,47.70
15-Apr-19 12:00:00 PM CEST,51.00,252900.00,4.63,99.00,47.50
15-Apr-19 12:15:00 PM CEST,52.00,202000.00,3.71,99.00,47.30
15-Apr-19 12:30:00 PM CEST,51.00,245300.00,4.44,99.00,48.10
15-Apr-19 12:45:00 PM CEST,51.00,232600.00,4.47,97.00,45.30
15-Apr-19 1:00:00 PM CEST,51.00,227400.00,4.39,97.00,45.10
15-Apr-19 1:15:00 PM CEST,51.00,238300.00,4.46,97.00,46.50
15-Apr-19 1:30:00 PM CEST,51.00,230600.00,4.20,98.00,47.80
15-Apr-19 1:45:00 PM CEST,52.00,292000.00,5.44,99.00,46.70
15-Apr-19 2:00:00 PM CEST,52.00,226300.00,4.35,97.00,45.30
15-Apr-19 2:15:00 PM CEST,52.00,211500.00,4.00,98.00,46.00
15-Apr-19 2:30:00 PM CEST,51.00,250600.00,4.58,98.00,47.60
15-Apr-19 2:45:00 PM CEST,52.00,211900.00,3.95,99.00,46.60
15-Apr-19 3:00:00 PM CEST,51.00,219700.00,4.01,99.00,47.70
15-Apr-19 3:15:00 PM CEST,53.00,258500.00,5.27,96.00,42.70
15-Apr-19 3:30:00 PM CEST,62.00,243500.00,6.23,96.00,34.10
15-Apr-19 3:45:00 PM CEST,66.00,96400.00,2.91,95.00,29.00
15-Apr-19 4:00:00 PM CEST,56.00,125700.00,2.82,95.00,38.90
15-Apr-19 4:15:00 PM CEST,60.00,22200.00,0.57,95.00,34.10
15-Apr-19 4:30:00 PM CEST,59.00,84600.00,2.12,94.00,34.80
15-Apr-19 4:45:00 PM CEST,59.00,191800.00,4.84,94.00,34.60
